gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CA1	99296	1463	15	40250322	10592190	0	52	14	0	0	14	10592190	9.987747e-01	1
CTDSPL	408788	457	22	42285684	11360643	0	18	6	0	1	34	50447901	9.987771e-01	1
C6orf70	233648	447	3	103595772	27809691	0	51	13	0	14	328	503461329	9.987785e-01	1
ZNF518B	218121	1074	15	157179792	43760283	0	109	29	0	5	113	145902225	9.987792e-01	1
C6orf108	1308754	363	35	28827372	9179898	0	9	5	0	9	173	284202996	9.987794e-01	1
C17orf67	306329	420	-58	17715957	4652256	0	14	9	0	1	23	18318258	9.987815e-01	1
ECT2	301474	239	11	135829260	35016534	0	66	15	0	3	36	69493074	9.987833e-01	1
SLA2	1019481	176	62	40561857	10156041	0	18	7	0	3	28	39689559	9.987839e-01	1
OPALIN	799460	684	38	22555134	6168393	0	22	7	0	0	7	6168393	9.987859e-01	1
CEND1	1788356	193	48	21059766	7227612	0	8	10	0	6	96	98798133	9.987871e-01	1
FBXO27	1653595	282	32	41143389	13188315	0	19	11	0	5	80	106004976	9.987890e-01	1
CAT	653478	256	23	80687565	21122073	0	42	11	0	4	69	107417268	9.987931e-01	1
BEND2	66906	NaN	11	121997106	32399640	0	94	28	0	0	28	32399640	9.987955e-01	1
TTC23L	245995	558	-4	55764765	14392917	0	37	14	0	8	141	158779005	9.987965e-01	1
ZNF600	536540	1010	-40	108891867	26625858	0	69	15	0	2	59	76679148	9.987979e-01	1
UBIAD1	582356	524	31	47664855	15950592	0	27	11	0	4	55	66440031	9.987983e-01	1
EXO1	173100	325	-16	127251663	34310388	0	86	20	0	1	104	128788569	9.987985e-01	1
GLTSCR1	788433	258	33	216350673	78672972	0	97	45	0	4	107	174958056	9.988002e-01	1
HPD	829168	195	44	61413933	15784440	0	43	13	0	4	75	75059166	9.988007e-01	1
LRCH4	1651125	242	60	98943516	33271938	0	50	23	0	14	202	310413474	9.988017e-01	1
PGBD5	286328	478	10	68350779	18505179	0	64	20	0	2	46	41787228	9.988027e-01	1
ZNF644	223798	843	-7	198406257	51070971	0	107	31	0	0	31	51070971	9.988031e-01	1
PSMD9	831519	195	45	33998853	9117591	0	12	3	0	2	34	56553987	9.988033e-01	1
TMEM86B	1035412	209	5	32212719	10716804	0	14	5	0	0	5	10716804	9.988053e-01	1
UBR7	325787	222	35	67374636	14745990	0	25	7	0	19	193	323373330	9.988057e-01	1
NACAD	NaN	NaN	NaN	218510649	75516084	0	101	40	0	1	53	98694288	9.988067e-01	1
SPDYE2	NaN	NaN	NaN	122578638	31568880	0	5	1	0	0	1	31568880	9.988101e-01	1
MAP4K5	603138	207	43	132983907	32815020	0	45	11	0	1	19	46688712	9.988109e-01	1
C17orf87	1279084	384	24	22804362	5607630	0	10	3	0	0	3	5607630	9.988110e-01	1
GABRG2	8332	869	-14	78278361	20665155	0	129	29	0	1	68	38941875	9.988113e-01	1
TAF1C	582429	364	12	124323234	41538000	0	77	26	0	1	58	73065342	9.988154e-01	1
C17orf48	59041	801	-49	52067883	12793704	0	19	6	0	1	9	19751319	9.988285e-01	1
TATDN3	331599	445	22	43448748	11630640	0	17	5	0	26	471	724734255	9.988290e-01	1
INO80B	1069803	343	45	51154047	16822890	0	30	13	0	0	13	16822890	9.988291e-01	1
C5orf39	488323	520	21	27975843	8286831	0	9	9	0	10	140	188977131	9.988294e-01	1
ASPG	622747	468	20	84550599	27851229	0	37	16	0	0	16	27851229	9.988296e-01	1
XRCC3	765678	266	43	50053290	16303665	0	21	13	0	1	18	26106633	9.988300e-01	1
GLT25D2	348183	732	11	93875880	26065095	0	92	27	0	0	27	26065095	9.988308e-01	1
SAMD4B	1748498	252	32	101477334	31174269	0	65	18	0	3	46	65775423	9.988314e-01	1
UGT3A2	173490	614	-9	78195285	21246687	0	105	35	0	2	96	67499250	9.988322e-01	1
PACSIN1	888245	207	32	68703852	16719045	0	37	16	0	3	59	88268250	9.988322e-01	1
STK32A	95084	839	-7	64196979	14932911	0	42	12	0	0	12	14932911	9.988335e-01	1
HHLA3	296134	396	5	24569727	4776870	0	13	6	0	6	132	123824778	9.988344e-01	1
IGSF8	829863	386	17	85568280	30696582	0	55	22	0	3	67	86419809	9.988348e-01	1
MCCD1	2514366	220	34	17529036	5275326	0	7	6	0	1	16	21516684	9.988363e-01	1
SAP30L	581156	416	29	28017381	7123767	0	5	4	0	9	98	179714157	9.988387e-01	1
BMPR1A	379827	195	26	81019869	21101304	0	40	12	0	1	25	41143389	9.988405e-01	1
SGSM2	780080	271	29	158405163	43967973	0	75	29	0	8	140	232405110	9.988419e-01	1
CRY1	169569	473	18	88974396	23614353	0	52	17	0	3	64	83927529	9.988433e-01	1
GLUD1	397715	144	35	84135219	23344356	0	34	16	0	5	96	169454271	9.988482e-01	1
STRN	580141	370	0	119193291	31153500	0	66	20	0	10	267	354859134	9.988485e-01	1
CIAPIN1	749108	159	39	47083323	13416774	0	17	6	0	7	72	117490233	9.988497e-01	1
MAN2A2	833957	291	42	169973496	50530977	0	100	29	0	1	50	86004429	9.988497e-01	1
FAM129C	961640	206	42	106773429	34601154	0	85	26	0	1	51	62182386	9.988507e-01	1
GBF1	987676	141	41	277120767	80272185	0	135	40	0	0	40	80272185	9.988539e-01	1
TMEM125	1091212	264	30	29575056	11547564	0	17	11	0	4	103	109847241	9.988542e-01	1
SENP5	766452	258	33	114811032	28744296	0	58	18	0	8	132	226589790	9.988555e-01	1
KIF3C	597475	166	40	116327169	33832701	0	87	29	0	0	29	33832701	9.988582e-01	1
ABCG8	501561	480	30	100480422	28619682	0	78	27	0	3	80	86648268	9.988617e-01	1
FASTKD3	65781	1013	-18	98050449	27124314	0	66	17	0	1	25	33396552	9.988618e-01	1
COX10	96214	985	-54	64446207	20042085	0	55	20	0	3	110	106337280	9.988638e-01	1
ILF2	1656449	183	40	59731644	16719045	0	26	9	0	0	9	16719045	9.988644e-01	1
PROP1	961008	363	32	32441178	10488345	0	23	14	0	2	34	32918865	9.988682e-01	1
EFCAB1	16699	533	-28	33438090	7684530	0	37	8	0	3	88	50385594	9.988684e-01	1
MDM1	354120	575	16	116285631	31132731	0	70	21	0	0	21	31132731	9.988695e-01	1
TIMP1	775214	NaN	38	31651956	8598366	0	4	1	0	0	1	8598366	9.988717e-01	1
RBPMS	473452	363	27	40956468	11692947	0	16	8	0	20	205	301108962	9.988721e-01	1
SCTR	211577	497	30	66813873	18609024	0	39	17	0	1	35	44632581	9.988725e-01	1
ARL13A	414180	NaN	45	46003335	12191403	0	12	4	0	2	23	54996312	9.988727e-01	1
TNRC6A	291928	342	19	293029821	79877574	0	167	44	0	1	57	97531224	9.988730e-01	1
ADPRHL2	853740	282	27	53230947	16179051	0	23	11	0	7	150	214543770	9.988752e-01	1
C11orf58	466700	635	-21	28765065	6625311	0	21	5	0	4	126	107998800	9.988755e-01	1
ZNF555	1287128	291	27	94810485	23510508	0	60	13	0	1	30	44549505	9.988758e-01	1
HPDL	1010538	355	28	51112509	18422103	0	17	11	0	15	190	302625099	9.988773e-01	1
SSX2IP	335727	572	-6	95890473	22305906	0	42	10	0	0	10	22305906	9.988775e-01	1
GPR126	177409	421	-26	193650156	49284837	0	85	25	0	0	25	49284837	9.988816e-01	1
SHROOM2	157955	NaN	0	231782040	72836883	0	166	59	0	1	70	89057472	9.988859e-01	1
RNF5	2119974	392	28	27456618	7622223	0	11	8	0	16	306	403022445	9.988860e-01	1
CYP4F22	772367	543	20	79524501	22845900	0	83	22	0	0	22	22845900	9.988880e-01	1
RDH10	259225	340	19	50614053	14559069	0	27	9	0	10	216	295376718	9.988909e-01	1
C20orf20	1044503	208	48	31465035	7975296	0	17	6	0	9	156	195373983	9.988941e-01	1
OVOL1	3834148	287	55	39772635	11069877	0	23	8	0	0	8	11069877	9.988944e-01	1
ASAP3	1050777	159	29	137719239	38671878	0	72	27	0	2	66	107001888	9.988947e-01	1
CAPN3	592239	284	38	130699317	32046567	0	63	21	0	5	108	180254151	9.988958e-01	1
C19orf22	2230583	191	36	39918018	12232941	0	21	10	0	9	165	209309982	9.988962e-01	1
CCDC132	260737	785	8	152174463	37550352	0	37	8	0	0	8	37550352	9.988965e-01	1
C5orf47	NaN	NaN	NaN	26397399	7684530	0	11	5	0	2	46	57654744	9.988972e-01	1
ZBTB8A	1429703	230	21	65962344	17342115	0	23	7	0	0	7	17342115	9.988978e-01	1
GRAPL	NaN	NaN	NaN	18131337	4859946	0	1	0	0	1	13	28038150	9.988981e-01	1
KLHDC9	689033	250	23	53417868	13935999	0	21	6	0	3	58	86295195	9.989004e-01	1
TXNDC2	431025	168	34	81601401	22575903	0	114	30	0	0	30	22575903	9.989006e-01	1
NECAB1	108662	842	-13	55806303	12980625	0	32	10	0	11	336	369397434	9.989032e-01	1
FAM83B	25624	495	-15	149516031	40769547	0	227	57	0	0	57	40769547	9.989037e-01	1
SETD4	219580	318	66	68579238	18276720	0	24	9	0	4	90	174625752	9.989039e-01	1
ZNF821	468594	163	28	54809391	15784440	0	24	7	0	12	253	400924776	9.989042e-01	1
TECPR1	464632	375	26	174729597	49201761	0	98	35	0	4	64	99691200	9.989049e-01	1
NOXA1	1591716	213	30	71237670	22721286	0	27	15	0	14	254	380384235	9.989078e-01	1
CRH	277437	480	30	27435849	9636816	0	11	5	0	0	5	9636816	9.989104e-01	1
RAB33B	392237	299	32	33978084	9262974	0	16	5	0	4	88	103990383	9.989119e-01	1
GAGE12C	NaN	NaN	NaN	110574156	26065095	0	2	0	0	0	0	26065095	9.989172e-01	1
APP	529745	793	-13	117843306	30509661	0	84	29	0	5	125	146587602	9.989178e-01	1
SLC38A6	220020	527	-2	84467523	22388982	0	33	9	0	0	9	22388982	9.989194e-01	1
FN1	585272	533	13	371723562	104613453	0	262	74	0	0	74	104613453	9.989210e-01	1
RERE	916698	436	27	228874380	69264615	0	156	50	0	0	50	69264615	9.989236e-01	1
LAMC2	764899	413	19	180607224	48433308	0	123	33	0	0	33	48433308	9.989241e-01	1
FAHD1	1604603	288	36	46169487	13146777	0	23	10	0	15	251	319780293	9.989244e-01	1
IGSF1	42910	NaN	15	202560057	56761677	0	220	58	0	1	91	79171428	9.989245e-01	1
HCCS	80480	NaN	30	41475693	10301424	0	23	8	0	1	38	50323287	9.989294e-01	1
FAM48A	166443	631	23	121851723	30488892	0	51	14	0	0	14	30488892	9.989304e-01	1
TCEB2	1717244	210	42	24902031	6874539	0	5	3	0	26	505	797820366	9.989319e-01	1
CCDC68	89155	373	-5	53023257	12523707	0	47	9	0	2	53	55494768	9.989322e-01	1
RBP1	226923	848	13	33043479	8826825	0	17	7	0	12	187	198883944	9.989323e-01	1
BRP44L	199596	556	18	16656738	4589949	0	4	4	0	17	266	367694376	9.989361e-01	1
C20orf152	1308823	144	53	87769794	22202061	0	52	15	0	6	121	161977431	9.989362e-01	1
ARMC2	414039	431	32	131052390	35431914	0	54	14	0	3	52	113170281	9.989377e-01	1
ARNTL2	544579	377	40	98652750	24590496	0	52	13	0	6	115	168976584	9.989393e-01	1
CRYAB	437513	221	22	25836636	7684530	0	8	3	0	13	118	197284731	9.989396e-01	1
ATP6V1G3	105821	404	-16	22056678	4049955	0	9	2	0	30	723	804134142	9.989401e-01	1
CGA	209764	625	-3	17902878	4714563	0	18	5	0	0	5	4714563	9.989418e-01	1
OR51V1	109545	1056	-1	46356408	13769847	0	71	21	0	3	56	33126555	9.989425e-01	1
SND1	566402	650	22	136950786	39066489	0	96	22	0	5	98	130387782	9.989426e-01	1
PTGFR	249935	671	-16	56990136	15472905	0	53	22	0	3	51	50821743	9.989426e-01	1
DGAT1	2525749	200	28	74394558	20997459	0	36	12	0	4	73	110511849	9.989448e-01	1
DMRT2	71695	845	4	84488292	24985107	0	13	5	0	0	5	24985107	9.989451e-01	1
LASS6	192358	937	21	58755501	15452136	0	36	11	0	0	11	15452136	9.989461e-01	1
ATP2C2	646239	396	5	142911489	40707240	0	92	31	0	1	33	49305606	9.989461e-01	1
OR13C2	147494	920	-31	46314870	13250622	0	64	21	0	7	174	108185721	9.989464e-01	1
FAM73B	1473097	203	29	87624411	26895855	0	52	17	0	0	17	26895855	9.989477e-01	1
NEURL	532306	170	44	81767553	26958162	0	35	22	0	2	37	59399340	9.989509e-01	1
SRP72	662749	594	27	103761924	26459706	0	52	22	0	4	56	84799827	9.989514e-01	1
SLC17A4	272695	635	29	74228406	21599760	0	53	15	0	0	15	21599760	9.989533e-01	1
C1QTNF8	1154740	294	20	35847294	12191403	0	16	8	0	0	8	12191403	9.989537e-01	1
SORT1	1030626	302	28	125320146	35058072	0	71	24	0	17	365	525912618	9.989541e-01	1
RNF182	256934	590	20	35535759	10820649	0	39	14	0	0	14	10820649	9.989548e-01	1
OR11H6	371813	563	-29	47083323	14725221	0	60	15	0	1	43	29907360	9.989553e-01	1
APOL1	1237332	331	42	61746237	17321346	0	45	15	0	3	157	159547458	9.989569e-01	1
HRASLS2	854193	303	56	23697429	7642992	0	13	10	0	7	60	63760830	9.989591e-01	1
PRRX1	61224	921	-7	39232641	11422950	0	1	0	0	0	0	11422950	9.989595e-01	1
LRRC57	534369	269	40	35847294	10259886	0	18	6	0	0	6	10259886	9.989604e-01	1
LMBR1	338947	615	6	75287625	20478234	0	37	16	0	7	131	187814067	9.989619e-01	1
ZCCHC8	866834	187	42	107188809	28391223	0	56	19	0	8	128	197533959	9.989640e-01	1
POU3F1	448782	374	32	62680842	21932064	0	22	10	0	0	10	21932064	9.989643e-01	1
ARL11	425192	296	62	28141995	8930670	0	24	11	0	0	11	8930670	9.989681e-01	1
GPR161	476316	391	10	77198373	23115897	0	60	24	0	1	27	28765065	9.989696e-01	1
ACTA2	181406	267	30	57093981	15555981	0	40	11	0	0	11	15555981	9.989697e-01	1
ZSCAN18	1248040	619	-53	81975243	25628946	0	83	33	0	2	84	79109121	9.989712e-01	1
MBTD1	787991	267	-10	97115844	24195885	0	32	8	0	0	8	24195885	9.989734e-01	1
OR10Q1	637499	828	-25	45380265	14683683	0	76	25	0	0	25	14683683	9.989738e-01	1
POLK	253484	500	54	133897743	32399640	0	42	11	0	0	11	32399640	9.989740e-01	1
CDS1	94589	895	5	70801521	18546717	0	54	16	0	0	16	18546717	9.989743e-01	1
FRMD5	929260	504	33	86502885	23468970	0	53	12	0	3	48	69949992	9.989753e-01	1
TCFL5	1044503	208	48	72151506	22866669	0	26	8	0	1	14	30841965	9.989758e-01	1
ALG5	176745	650	16	49658679	13458312	0	35	11	0	3	39	44861040	9.989765e-01	1
SYT14	223343	547	-5	94291260	23967426	0	69	16	0	3	98	113544123	9.989781e-01	1
FUT10	96386	500	5	71258439	19211325	0	39	12	0	0	12	19211325	9.989794e-01	1
BRI3	566928	294	41	20955921	6459159	0	10	4	0	8	179	189101745	9.989829e-01	1
RHOV	1036414	172	51	33957315	10841418	0	11	8	0	4	61	95308941	9.989852e-01	1
TRIM11	682437	316	7	67333098	21578991	0	39	20	0	6	438	513471987	9.989861e-01	1
PHC1	296906	416	12	146442219	44902578	0	59	21	0	3	48	91882056	9.989880e-01	1
AMT	1585328	201	32	60707787	18546717	0	33	11	0	2	21	32669637	9.989897e-01	1
BID	395559	280	-18	36034215	10446807	0	1	0	0	0	0	10446807	9.989899e-01	1
CLDND1	390532	796	2	42368760	10903725	0	21	7	0	2	29	39689559	9.989908e-01	1
PAGE4	257202	NaN	7	16158282	4091493	0	3	1	0	6	119	176183427	9.989913e-01	1
RPL38	297367	535	-8	11630640	2762277	0	1	1	0	4	125	153856752	9.989915e-01	1
CCR8	159083	507	38	52275573	14517531	0	41	17	0	2	52	48661767	9.989915e-01	1
PLAC8	361292	169	58	18089799	4589949	0	6	6	0	3	63	71403822	9.989919e-01	1
ZNF205	1626425	234	44	81476787	24008964	0	65	19	0	0	19	24008964	9.989939e-01	1
OR1L8	407749	646	9	44383353	13562157	0	56	23	0	5	106	78195285	9.989973e-01	1
PARP6	1129780	260	47	97531224	25649715	0	50	14	0	4	61	97011999	9.989980e-01	1
TMBIM1	730654	197	33	47249475	13811385	0	12	5	0	2	25	55162464	9.989987e-01	1
OR10H5	808269	590	18	44715657	14289072	0	56	19	0	0	19	14289072	9.990033e-01	1
SEC24A	899027	175	40	163036650	46937940	0	77	25	0	0	25	46937940	9.990100e-01	1
ALDH7A1	235232	191	19	82452930	22721286	0	37	11	0	0	11	22721286	9.990113e-01	1
NDRG4	678092	320	0	60250869	16760583	0	27	15	0	11	182	267130878	9.990142e-01	1
OR2M4	18846	936	-35	44715657	13541388	0	95	34	0	6	230	99400434	9.990172e-01	1
SLC15A3	802735	546	56	83076000	27581232	0	38	13	0	0	13	27581232	9.990183e-01	1
TSPAN2	595238	555	4	33936546	9429126	0	40	13	0	0	13	9429126	9.990184e-01	1
IGFBP7	544216	314	32	40811085	13209084	0	18	9	0	11	194	247815708	9.990184e-01	1
UNC5A	1056724	222	44	123658626	37404969	0	82	25	0	3	63	92588202	9.990228e-01	1
DHX36	94558	921	-11	155497503	39211872	0	99	23	0	4	110	139941522	9.990243e-01	1
KRTAP26-1	6302	1011	-69	30156588	9283743	0	54	18	0	17	397	182102592	9.990260e-01	1
ACHE	1339207	433	48	92899737	31340421	0	62	25	0	7	190	246195726	9.990260e-01	1
CSN1S1	9744	991	0	32108874	6459159	0	24	8	0	11	391	306654285	9.990306e-01	1
SLMO2	948552	126	25	29720439	7975296	0	16	7	0	5	105	105236523	9.990330e-01	1
STARD8	172747	NaN	15	161665896	48184080	0	115	42	0	5	80	107541882	9.990352e-01	1
SGCZ	3398	1175	-34	46917171	13333698	0	100	31	0	0	31	13333698	9.990363e-01	1
MYLIP	159273	596	27	66813873	18048261	0	42	14	0	5	84	99421203	9.990368e-01	1
TC2N	368236	478	21	74872245	19647474	0	61	17	0	0	17	19647474	9.990383e-01	1
SFMBT1	1008757	282	50	132132378	34663461	0	69	19	0	4	59	102328863	9.990422e-01	1
PLOD1	518604	207	41	110013393	30675813	0	70	21	0	0	21	30675813	9.990427e-01	1
SNAPIN	1656449	183	40	19938240	6542235	0	10	5	0	0	5	6542235	9.990433e-01	1
IL17RD	426285	332	37	110823384	30613506	0	64	21	0	2	49	68745390	9.990451e-01	1
ZNF80	410007	614	10	40811085	10405269	0	66	15	0	0	15	10405269	9.990454e-01	1
PRKACB	205640	919	-13	64612359	16012899	0	38	13	0	2	50	59669337	9.990472e-01	1
SLC6A13	316827	557	28	90718992	25483563	0	86	23	0	4	250	231948192	9.990502e-01	1
FAM59B	NaN	NaN	NaN	122100951	42701064	0	37	12	0	1	25	65879268	9.990509e-01	1
ARF5	411207	619	-7	27560463	7642992	0	15	7	0	7	120	122038644	9.990512e-01	1
USP10	494151	258	31	118258686	34331157	0	52	18	0	1	21	40437243	9.990512e-01	1
FEM1B	376557	437	37	91674366	26085864	0	42	17	0	2	43	68205396	9.990532e-01	1
FAM105B	511502	422	16	53272485	14205996	0	21	13	0	5	62	107105733	9.990532e-01	1
IGFBP5	573046	620	16	40291860	11485257	0	17	7	0	8	143	203183127	9.990534e-01	1
PTPRO	367328	560	-14	185778705	48184080	0	130	29	0	10	179	260962485	9.990544e-01	1
EPB41L4B	337644	371	15	143347638	40644933	0	85	23	0	3	58	92671278	9.990548e-01	1
ABHD11	1082063	214	54	58859346	18463641	0	25	10	0	7	186	286155282	9.990566e-01	1
GDE1	349996	491	21	49700217	13603695	0	35	10	0	0	10	13603695	9.990573e-01	1
ZNF684	693560	457	26	58319352	13520619	0	29	8	0	7	103	162102045	9.990575e-01	1
TBC1D28	729405	435	-2	32731944	8390676	0	14	7	0	5	100	132485451	9.990575e-01	1
MFF	251488	144	18	51216354	14891373	0	29	9	0	2	72	89452083	9.990575e-01	1
C19orf25	2352825	221	38	17175963	5566092	0	2	1	0	4	98	181749519	9.990610e-01	1
CARD11	635400	558	24	174023451	47602548	0	314	87	0	0	87	47602548	9.990660e-01	1
ICK	463740	386	22	95142789	26168940	0	39	17	0	3	56	97842759	9.990665e-01	1
TELO2	1254229	256	34	121602495	40021863	0	75	26	0	0	26	40021863	9.990682e-01	1
PIAS1	325771	194	31	97925835	27311235	0	41	12	0	7	148	255728697	9.990690e-01	1
GRIA3	226353	NaN	-6	141042279	37404969	0	140	41	0	4	148	141997653	9.990701e-01	1
PI4KB	1256374	184	31	122412486	35411145	0	62	21	0	5	133	198427026	9.990708e-01	1
PAPOLA	328369	576	19	114167193	30509661	0	52	16	0	1	34	57280902	9.990717e-01	1
MYST3	608794	464	31	299572056	78942969	0	236	70	0	2	91	106607277	9.990727e-01	1
ACSM2A	181483	823	6	87022110	24258192	0	123	38	0	1	80	49347144	9.990735e-01	1
ALKBH4	611052	174	63	43199520	14060613	0	17	5	0	1	19	31195038	9.990758e-01	1
C14orf21	915114	220	38	91902825	29782746	0	62	31	0	2	48	53916324	9.990767e-01	1
SURF2	1827885	416	28	39004182	10529883	0	11	4	0	16	171	286632969	9.990801e-01	1
KIF24	596029	186	43	201459300	57426285	0	74	25	0	17	218	446761959	9.990803e-01	1
DLL4	1049616	176	50	101664255	29055831	0	1	0	0	0	0	29055831	9.990829e-01	1
RRP1B	892193	157	72	114457959	31153500	0	55	20	0	1	23	43469517	9.990834e-01	1
ENPEP	81828	684	-3	145632228	38173422	0	176	51	0	2	90	70926135	9.990883e-01	1
TSTD2	506644	420	36	79005276	19875933	0	37	17	0	2	29	46584867	9.990887e-01	1
PPP1CA	1269888	177	51	51340968	14081382	0	30	9	0	0	9	14081382	9.990890e-01	1
C16orf62	340032	578	15	148830654	38962644	0	95	27	0	0	27	38962644	9.990893e-01	1
SLC19A1	422182	618	40	83055231	28848141	0	46	19	0	0	19	28848141	9.990905e-01	1
VPS45	1181361	309	32	86855958	23365125	0	47	11	0	2	43	66190803	9.990914e-01	1
FOXQ1	114944	481	14	55037850	20478234	0	23	17	0	6	112	152922147	9.990918e-01	1
PHF19	645995	270	39	95371248	26501244	0	38	13	0	3	56	101124261	9.990923e-01	1
APOA4	419339	326	36	58028586	16677507	0	56	19	0	1	39	32378871	9.990928e-01	1
ID4	111172	864	-23	22762824	8016834	0	6	3	0	0	3	8016834	9.990933e-01	1
C19orf42	980514	362	41	12586014	2741508	0	7	6	0	1	23	15576750	9.990976e-01	1
HSPBP1	1035412	209	5	52545570	16490586	0	43	21	0	0	21	16490586	9.990978e-01	1
JUND	1178047	210	43	47831007	17217501	0	15	7	0	2	50	91300524	9.990990e-01	1
HBE1	109545	1056	-1	21952833	6209931	0	33	11	0	2	35	19356708	9.990995e-01	1
DTHD1	NaN	NaN	NaN	118196379	31278114	0	40	10	0	1	23	54456318	9.991005e-01	1
ZNF354B	204252	845	6	92920506	22658979	0	47	10	0	5	83	130886238	9.991011e-01	1
ACO2	1474160	162	69	116659473	33687318	0	61	18	0	0	18	33687318	9.991028e-01	1
UGT1A9	320853	284	24	78506820	21869757	0	84	27	0	2	82	73418415	9.991042e-01	1
IRX5	100202	762	-46	68143089	22825131	0	56	20	0	0	20	22825131	9.991043e-01	1
ANAPC5	959300	258	39	114686418	30613506	0	63	19	0	0	19	30613506	9.991044e-01	1
PGAP1	549386	370	17	141748425	37259586	0	84	19	0	3	45	68828466	9.991082e-01	1
KCNJ15	109140	246	56	54830160	15701364	0	74	23	0	0	23	15701364	9.991086e-01	1
KRTAP13-2	4608	1035	-69	25172028	7850682	0	36	9	0	3	45	25483563	9.991090e-01	1
GGA1	1136064	180	65	98839671	28765065	0	65	22	0	15	200	271637751	9.991093e-01	1
C17orf80	205112	251	-15	91300524	25275873	0	45	15	0	7	103	154251363	9.991107e-01	1
FAM22D	490965	332	22	79752960	26044326	0	27	8	0	1	14	37114203	9.991111e-01	1
MTHFD1L	341712	438	21	146961444	42763371	0	71	22	0	8	152	239674260	9.991114e-01	1
SOD3	269537	617	31	33978084	11319105	0	16	7	0	7	104	139443066	9.991117e-01	1
PLSCR5	124275	768	-20	41434155	11152953	0	28	9	0	1	65	70261527	9.991128e-01	1
GPR78	96216	471	31	49928676	18609024	0	72	36	0	2	52	33292707	9.991135e-01	1
ADIG	525955	539	39	12544476	2969967	0	10	3	0	0	3	2969967	9.991152e-01	1
PLEKHM1	748554	327	12	154022904	46294101	0	64	24	0	1	26	59710875	9.991165e-01	1
LST1	2517285	220	35	17196732	3426885	0	1	1	0	16	139	304286619	9.991193e-01	1
TMPRSS15	274061	981	-64	156909795	39855711	0	207	57	0	1	71	53521713	9.991200e-01	1
DPP8	620582	187	39	137823084	35203455	0	76	19	0	2	58	90594378	9.991201e-01	1
BOC	437186	634	21	163576644	49450989	0	159	48	0	10	190	188956362	9.991204e-01	1
DENND1B	206539	480	-21	121789416	31298883	0	41	13	0	1	27	54684777	9.991205e-01	1
IQSEC2	886836	NaN	77	220525242	69389229	0	85	30	0	3	84	179464929	9.991232e-01	1
SPAG17	192120	741	-7	341836971	85838277	0	293	68	0	0	68	85838277	9.991244e-01	1
FUT9	76115	1328	-21	53708634	13832154	0	104	27	0	1	40	21225918	9.991260e-01	1
C1orf228	NaN	NaN	NaN	66751566	18422103	0	25	7	0	1	20	41600307	9.991272e-01	1
CST8	188567	750	-16	21516684	5711475	0	31	10	0	3	66	32067336	9.991316e-01	1
ZZZ3	491029	297	0	136306947	35411145	0	63	15	0	1	27	53147871	9.991326e-01	1
ATP2B1	235578	418	9	190846341	51964038	0	98	27	0	0	27	51964038	9.991349e-01	1
METTL4	247615	485	-5	71715357	18442872	0	35	10	0	0	10	18442872	9.991380e-01	1
NCSTN	987855	526	28	106441125	30385047	0	56	17	0	0	17	30385047	9.991382e-01	1
HARBI1	914919	176	39	50946357	14725221	0	24	9	0	0	9	14725221	9.991389e-01	1
NEIL2	470737	360	34	49617141	13935999	0	19	4	0	4	32	57073212	9.991408e-01	1
STX1B	1398193	247	40	45047961	11215260	0	17	8	0	7	163	256206384	9.991424e-01	1
TMEM188	270030	594	-12	22326675	6023010	0	7	6	0	17	256	332075541	9.991431e-01	1
TEKT2	853740	282	27	64446207	18484410	0	33	16	0	7	150	214543770	9.991458e-01	1
DCTPP1	2338593	142	59	24673572	7912989	0	8	7	0	3	77	106503432	9.991469e-01	1
FUK	930873	125	44	157470558	51070971	0	73	28	0	2	45	84218295	9.991470e-01	1
EVL	453415	234	27	64051596	17632881	0	42	12	0	1	21	27996612	9.991492e-01	1
GPR27	86859	605	6	50884050	19335939	0	33	14	0	2	47	50385594	9.991501e-01	1
CRHR1	408198	563	16	67374636	19045173	0	59	18	0	0	18	19045173	9.991521e-01	1
EXOSC8	176745	650	16	43178751	11215260	0	17	4	0	2	20	30821196	9.991522e-01	1
COL25A1	157338	437	-5	104883450	31631187	0	112	36	0	0	36	31631187	9.991528e-01	1
SIRT2	1989663	219	30	60624711	16012899	0	34	9	0	1	20	30156588	9.991535e-01	1
CRYGN	612907	196	36	28204302	6999153	0	30	10	0	1	15	11152953	9.991541e-01	1
ZNF878	975609	728	-8	87084417	22139754	0	87	22	0	0	22	22139754	9.991549e-01	1
CDCP1	513877	326	46	122890173	35930370	0	89	31	0	5	119	150866016	9.991550e-01	1
LINGO3	1553589	240	29	80479875	30613506	0	31	9	0	2	32	66834642	9.991550e-01	1
KIAA0664	561252	218	18	194605530	56491680	0	112	36	0	1	50	80853717	9.991554e-01	1
CAPN8	NaN	NaN	NaN	91383600	24008964	0	39	10	0	1	23	47187168	9.991562e-01	1
SPG11	666585	441	35	371162799	95516631	0	155	51	0	2	65	139983060	9.991577e-01	1
OR6P1	NaN	NaN	NaN	45151806	14226765	0	59	22	0	0	22	14226765	9.991599e-01	1
MTERFD1	217849	671	12	63366219	16635969	0	32	12	0	17	306	399616329	9.991600e-01	1
SEP15	333484	410	-6	26044326	5981472	0	3	1	0	0	1	5981472	9.991601e-01	1
